id,text,label,dataset_id
072-1817,Carol Shea Porter wants to increase taxes on small business and job creators ,1,72
012-4010,The copilot of the Germanwings plans Andreas Guenter Lubitz appeared to want to destroy the plane French prosecutor says ,0,12
072-4286,Says Hillary Clinton voted to raise taxes on workers earning as little as 41 500 ,0,72
072-7071,Says Republican state Sen Alberta Darling offered unqualified support for a plan to end Medicare,0,72
072-7186,Says Hillary Clinton has been a champion of globalist trade agreements Worst of all they are now pushing the disastrous 5 000 page Obamatrade the Trans Pacific Partnership agreement ,0,72
072-4152,Barack Obama s church gave a lifetime achievement award to Louis Farrakhan ,0,72
072-8765,State legislators quietly shifted 2 billion from education to road building in 2013 ,1,72
072-2046,Recent solar energy policies in Georgia have resulted in rate hikes and did not result in solar becoming any more economically viable ,1,72
072-7451,The State of Texas does not even use the E Verify system to determine if someone is legally in our country when they apply for a job ,0,72
072-9162,Says New Jersey has the highest unemployment rate in the region and stagnant job growth ,0,72
072-573, In Florida alone more than 3 5 billion a year is spent on health care and criminal justice for illegal immigrants ,1,72
012-2250,Newsrooms around the world show their support for CharlieHebdo jesuischarlie ,0,12
072-8915,Says neither President Barack Obama nor Mexico President Felipe Calderon have been on the border to see whats happening to the citizens of Mexico and for that matter the citizens of Texas ,0,72
072-4138, Whether in Illinois or Washington Barack Obama has bridged partisanship to bring about significant reform ,0,72
072-7468,Senator Chris Dodd chairman of the Senate Banking Committee placed an amendment in the stimulus bill that allowed for banks bailed out with taxpayer money including AIG to hand out huge bonuses ,0,72
072-12110,Federal state and local governments have subsidized the production of the Volt to the tune of estimates between 50 000 and 250 000 per vehicle sold ,0,72
072-692,College students who are NOT U S Citizens and who get the PELL Grant plan to return to their home countries after getting free gas cards and child care ,1,72
072-1091,In his first meeting with University of Wisconsin System officials Republican Governor elect Scott Walker told them to prepare for cuts ,1,72
012-854,The sydneysiege hostage taker has been named as Sheikh Man Monis ,0,12
072-1546,Local law enforcement will have access to the Obamacare Data Hubs treasure trove of personal info ,1,72
012-280,You gotta admire the ability of Daily Tele editors to resist fads like fact checking sydneysiege,0,12
072-8398,Says under the Senate immigration bill newly legalized immigrants will pay every tax possible but you dont get a single benefit for 10 years ,0,72
072-2203,Wisconsin is one of the bluest states but under Scott Walker its unemployment rate is around 3 5 ,1,72
072-12079,All of Texas is conservative except a little bit of Austin ,1,72
072-12718,The president promised to close the space gap but he now seems intent on repeating the events that created the space gap in the first place putting in place a new rocket design and then trying to underfund the effort ,0,72
012-359,In times of crisis we must remind ourselves that we are all part of TeamHumanity sydneysiege,0,12
072-8934,For people in the top 1 percent for income your effective tax burden is in the low 20s the lowest its been in decades and decades and decades lower than somebody who might make substantially less money ,0,72
072-6150, In just one month the Democrats have spent more than President Bush spent in seven years on the war in Iraq the war in Afghanistan and Hurricane Katrina combined ,1,72
072-6005,Says that as Providences mayor David Cicilline said the city had a world class school system Not only did Providence not have a world class school system but as measured was amongst the last school system in the entire country ,1,72
072-5050,We could cut unemployment in half simply by reclaiming the jobs taken by illegal workers ,1,72
072-11957,In the 2012 election there were more votes cast than registered voters in St Lucie County and Palm Beach County had 141 percent turnout ,1,72
012-2557,Reports CharlieHebdo gunmen were asking for journalists by name before opening fire Armed with AK47s and RPG,1,12
012-3855,DGAC clarifies Germanwings didn t itself issue distress call but ATC launhed distress phase due combination of descent and no radio contact,1,12
072-11984,Sources show Connie Mack as a resident of California living with his wife in Palm Springs ,0,72
072-1823,Says Texas ranks 49th nationally in what we are doing to support our per pupil investment in education in the state ,0,72
072-12583,The Department of Health and Human Services is providing 160 million to the state of Pennsylvania to set up a new high risk insurance pool program that would cover any abortion legal in the state ,1,72
072-2451,Thomas Jefferson expressed strong support for a balanced budget amendment in 1798 ,0,72
072-11575,The number of illegal immigrants could be 3 million It could be 30 million ,1,72
072-2063,The United States is not building the aircraft the long range bombers the additional aircraft carriers the nuclear submarines ,1,72
072-3964,In the history of Republican primaries Ive gotten the most votes in the history of the Republican party ,1,72
072-1440,Im the only one whos fought against developers draining the Everglades ,1,72
012-817,Siege situation currently unfolding at Sydney s Martin Place Updates here ,0,12
012-768,The flag held in Sydney cafe window is a Shahadah flag left not an ISIS flag right MartinPlace sydneysiege ,1,12
072-9129,Says sixty two percent of small businesses over the last five years went under because they couldnt pay their health care bills ,1,72
072-5831,In most Muslim countries We cant have a church Were not able to build synagogues Its forbidden ,1,72
072-12588,Politician Reid Ribble wants to phase out Social Security forcing Wisconsin seniors to fend for themselves ,1,72
072-4252,Says he has supported George Bush more than I have Barack Obama ,1,72
072-6,Says Tennessee is providing millions of dollars to virtual school company for results at the bottom of the bottom ,0,72
072-7817,Says enrolling a student in a subsidized lunch program triggers an at risk designation resulting in an extra 6 000 to 7 000 of state school aid per student ,0,72
072-5916,Says President Barack Obama initially said the national health care mandate isnt a tax but his administration now says it is a tax ,0,72
012-2597,Killed Charlie Hebdo suspects came out firing on security forces source AFP ,1,12
072-3462,The Democrats health care bills would provide free health care for illegal immigrants ,1,72
012-1137,Horrible tragedy in Paris today was not done by Muslims but done by terrorists Let us unite against hate pray for peace CharlieHebdo,0,12
072-1384,The Florida Department of Agricultures website FreshFromFlorida com can be used to get a permit to carry a loaded hidden gun without ever leaving your house ,1,72
012-314,Narendra Modi tweets about Sydney Siege Not a word about Manipur Blast If only Manipur was not in India he would have showed concern,0,12
072-5459,SaysPresident Obama hijacked the farm bill and turned it into a food stamp bill ,1,72
072-142,A monthly police and fire protection fee on all Wisconsin phone bills does nothing to support police and fire ,1,72
012-4577,We have no idea who is responsible for the ottawashooting so why are instant commentators talking about ISIS Please stop politics of fear,0,12
012-2641,Armed French Police At Trocadero In Paris ,1,12
012-1215,Sally Kohn compares today s CharlieHebdo attack to all the Christians or Jews killing in name of religion ,0,12
072-255,Fundamental changes made to the language describing the Wisconsin Idea in the University of Wisconsin Systems mission statement were the result of a drafting error ,1,72
072-7372,Studies show that if we opened one reserve in Alaska now in five years gas prices could be at 2 a gallon ,1,72
012-1129,Cartoonists stand in solidarity with CharlieHebdo victims with these powerful images ,0,12
072-967,Action by the Milwaukee County Board will provide the County Executive with the same level of security as the Governor and the Mayor of Milwaukee while saving taxpayers 300 000 ,1,72
072-11955,No poll done this year shows less than a majority to reinstate a federal ban on assault weapons ,0,72
012-1328,Jihadist flags amp petrol bombs found in car used by CharlieHebdo attack suspects sources tell French media ,0,12
072-8660,Harry Reids plan is basically giving the president a blank check ,1,72
072-4434, Sue Lowden gave Harry Reid s campaigns a thousand dollars in five different elections helping his Senate dreams come true ,0,72
072-1626,Recent international reports show the United States near the bottom among industrialized nations for k 12 academic achievement ,0,72
072-7369,In 2007 Ed Gillespie was paid 300 000 to be the frontman for a coalition that made the individual mandate the centerpiece of its health reform plan ,0,72
012-1557,This image and hashtag trending in France after CharlieHebdo attack JeSuisCharlie ,0,12
012-717,Sydney Opera House evacuated concourse deserted SydneySiege via ,1,12
072-10843,Says Scott Walker left college under an ethical cloud for having tried to fix the election for student body president ,1,72
072-1979,Says Ohios I X Center used to be a great plant but thousands of people of worked here and they left when their jobs were moved overseas ,1,72
012-1748,Breaking News Local Mayor tells CharlieHebdo suspects Kouachi bros are dead ,0,12
072-6783,Senators who have accepted millions in campaign contributions from the financial industry voted against allowing bankruptcy judges to modify home mortgages ,0,72
072-5535,Bill McCollum served as a lobbyist whose clients enabled mortgages for illegal immigrants ,1,72
072-1676,On offshore drilling for energy,0,72
072-2317, Ninety four percent of the bills that pass the Senate have no debate no vote no amendments no reading of the bill no online disclosure ,1,72
072-266,Bill McCollum voted four times to raise his own pay by a total of 51 000 and earns a congressional pension worth more than 75 000 a year ,0,72
072-9295,The media widely overlooked comments made by former President Bill Clinton that Hillary Clinton had a terrible concussion that took six months to recover from ,1,72
072-3054,Virginia has a responsibility to fund 55 percent of public education and is payingjust 41 percent ,1,72
072-9269,Theres a mosque inside of the Pentagon ,1,72
072-3379,Obamacare is the largest tax increase in the history of the world ,1,72
072-10099,Theres nothing in the voting instructions that weve been getting in the last several elections that lets you know about the limitations of the master lever ,1,72
